Year,Week,Sex,Age,Deaths
2000,1,m,0,233.29850746268656
2000,1,m,1,50.27985074626866
2000,1,m,5,32.17910447761194
2000,1,m,10,54.30223880597015
2000,1,m,15,284.5839552238806
2000,1,m,20,471.625
2000,1,m,25,515.8712686567164
2000,1,m,30,605.3694029850747
2000,1,m,35,1109.1735074626865
2000,1,m,40,1453.0876865671642
2000,1,m,45,1966.94776119403
2000,1,m,50,1996.1100746268658
2000,1,m,55,1876.4440298507463
2000,1,m,60,3518.583955223881
2000,1,m,65,2944.3880597014927
2000,1,m,70,3365.7332089552237
2000,1,m,75,1573.759328358209
2000,1,m,80,1061.910447761194
2000,1,m,85,837.6623134328358
2000,1,m,90,267.48880597014926
2000,1,m,95,36.201492537313435
2000,1,m,TOT,24255.0
2000,1,m,UNK,135.0
2000,1,f,0,182.3786864483445
2000,1,f,1,36.07490501176045
2000,1,f,5,27.056178758820337
2000,1,f,10,25.05201736927809
2000,1,f,15,82.17061697123214
2000,1,f,20,116.24136059345034
2000,1,f,25,125.26008684639045
2000,1,f,30,183.3807671431156
2000,1,f,35,320.66582232675955
2000,1,f,40,465.96752306857246
2000,1,f,45,687.4273566129908
2000,1,f,50,714.4835353718111
2000,1,f,55,794.649990953501
2000,1,f,60,1679.4872444364032
2000,1,f,65,2047.2508594174055
2000,1,f,70,3593.4613714492493
2000,1,f,75,3299.85172788131
2000,1,f,80,2978.183824859779
2000,1,f,85,3107.4522344852544
2000,1,f,90,1357.8193414148725
2000,1,f,95,329.68454857969965
2000,1,f,TOT,22154.0
2000,1,f,UNK,46.0
2000,1,b,0,414.0
2000,1,b,1,86.0
2000,1,b,5,59.0
2000,1,b,10,79.0
2000,1,b,15,365.0
2000,1,b,20,585.0
2000,1,b,25,638.0
2000,1,b,30,785.0
2000,1,b,35,1423.0
2000,1,b,40,1910.0
2000,1,b,45,2642.0
2000,1,b,50,2698.0
2000,1,b,55,2659.0
2000,1,b,60,5175.0
2000,1,b,65,4971.0
2000,1,b,70,6933.0
2000,1,b,75,4858.0
2000,1,b,80,4028.0
2000,1,b,85,3934.0
2000,1,b,90,1621.0
2000,1,b,95,365.0
2000,1,b,TOT,46409.0
2000,1,b,UNK,181.0
2000,2,m,0,241.61915825216693
2000,2,m,1,47.31708515771602
2000,2,m,5,43.290099186846575
2000,2,m,10,61.41153605575909
2000,2,m,15,211.41676347064606
2000,2,m,20,429.88075239031366
2000,2,m,25,521.4946832275936
2000,2,m,30,607.0681351085694
2000,2,m,35,950.3686891251899
2000,2,m,40,1371.1887230810473
2000,2,m,45,1753.7523903136448
2000,2,m,50,1799.0559824859263
2000,2,m,55,1646.0305155928872
2000,2,m,60,3084.6712536859977
2000,2,m,65,2819.8969261013312
2000,2,m,70,3293.0677776784914
2000,2,m,75,1542.3356268429989
2000,2,m,80,962.4496470377983
2000,2,m,85,804.3904476811724
2000,2,m,90,293.96997587346976
2000,2,m,95,48.323831650433384
2000,2,m,TOT,22533.0
2000,2,m,UNK,151.0
2000,2,f,0,168.30210107893242
2000,2,f,1,33.059341283361725
2000,2,f,5,20.035964414158624
2000,2,f,10,24.043157296990348
2000,2,f,15,89.16004164300587
2000,2,f,20,89.16004164300587
2000,2,f,25,146.26254022335795
2000,2,f,30,140.25175089911036
2000,2,f,35,280.5035017982207
2000,2,f,40,407.73187582812795
2000,2,f,45,575.0321786863525
2000,2,f,50,663.1904221086504
2000,2,f,55,755.3558584137801
2000,2,f,60,1565.8106189664963
2000,2,f,65,1970.5371001325004
2000,2,f,70,3465.2200454287336
2000,2,f,75,3195.7363240583004
2000,2,f,80,2722.887563884157
2000,2,f,85,3187.721938292637
2000,2,f,90,1312.3556691273898
2000,2,f,95,357.6419647927314
2000,2,f,TOT,21170.0
2000,2,f,UNK,38.0
2000,2,b,0,408.0
2000,2,b,1,80.0
