Patronim,Sex,count
ивановна,0,1607615
иванович,1,1604533
николаевич,1,1136180
васильевич,1,1041505
васильевна,0,916495
александрович,1,895219
михайлович,1,794915
николаевна,0,790128
михайловна,0,676948
александровна,0,644323
петрович,1,579877
петровна,0,554786
алексеевич,1,553244
владимирович,1,458571
алексеевна,0,451199
федоровна,0,428438
федорович,1,403580
сергеевич,1,362241
павлович,1,357484
павловна,0,349136
григорьевич,1,316662
григорьевна,0,308815
андреевич,1,304502
андреевна,0,302583
дмитриевич,1,300824
сергеевна,0,283850
викторович,1,276370
дмитриевна,0,275202
владимировна,0,238751
анатольевич,1,234327
степановна,0,195485
степанович,1,184282
яковлевна,0,165569
семеновна,0,162097
семенович,1,153630
яковлевич,1,152896
викторовна,0,124745
константинович,1,122526
юрьевич,1,118702
егоровна,0,113903
егорович,1,109763
константиновна,0,108647
борисович,1,106182
георгиевич,1,100846
анатольевна,0,99654
ильич,1,96633
ильинична,0,91645
георгиевна,0,90247
евгеньевич,1,84700
тимофеевна,0,83754
тимофеевич,1,73612
геннадьевич,1,69898
леонидович,1,67512
борисовна,0,64538
ефимовна,0,58854
валентинович,1,55777
филипповна,0,53901
максимовна,0,52969
ефимович,1,49736
гавриловна,0,47629
афанасьевна,0,46724
кузьминична,0,46516
никитична,0,46366
филиппович,1,46096
кузьмич,1,45589
максимович,1,45427
юрьевна,0,44665
матвеевна,0,43104
афанасьевич,1,42560
гаврилович,1,41368
валерьевич,1,41310
евгеньевна,0,40967
антоновна,0,40690
леонидовна,0,38006
антонович,1,35848
матвеевич,1,34932
никитович,1,33363
вячеславович,1,32833
никифоровна,0,31066
иосифовна,0,30860
тихоновна,0,30732
витальевич,1,30669
геннадьевна,0,30525
иосифович,1,28304
даниловна,0,27826
тихонович,1,27169
валентиновна,0,26502
никифорович,1,25666
игнатьевна,0,24894
трофимовна,0,24875
кирилловна,0,24819
данилович,1,24669
аркадьевич,1,23169
романовна,0,22808
фёдоровна,0,22523
кириллович,1,22085
романович,1,21462
трофимович,1,21007
захаровна,0,20296
фёдорович,1,20119
игнатьевич,1,19586
игоревич,1,17527
митрофановна,0,17514
леонтьевна,0,17055
захарович,1,16823
митрофанович,1,16417
олегович,1,15443
леонтьевич,1,14968
герасимовна,0,14744
вячеславовна,0,14433
валерьевна,0,14121
аркадьевна,0,14023
прокофьевна,0,13857
витальевна,0,13845
емельяновна,0,13221
макаровна,0,12593
львович,1,12587
прокопьевна,0,12479
семёновна,0,11764
герасимович,1,11627
илларионовна,0,11415
стефановна,0,11374
вениаминович,1,11213
прокопьевич,1,11119
емельянович,1,10950
акимовна,0,10889
макарович,1,10646
семёнович,1,10460
прокофьевич,1,10375
терентьевна,0,10079
илларионович,1,9746
федотовна,0,9610
станиславович,1,9514
арсентьевна,0,9210
акимович,1,8928
лаврентьевна,0,8548
евдокимовна,0,8404
арсентьевич,1,8221
стефанович,1,8207
терентьевич,1,8175
федотович,1,8061
савельевна,0,7904
львовна,0,7861
архиповна,0,7757
осиповна,0,7675
серафимович,1,7225
никитич,1,7092
игоревна,0,7053
марковна,0,6932
савельевич,1,6908
лаврентьевич,1,6759
моисеевна,0,6698
денисовна,0,6652
маркович,1,6621
евдокимович,1,6606
карповна,0,6432
никоноровна,0,6362
вениаминовна,0,6304
моисеевич,1,6212
фроловна,0,6210
архипович,1,6186
пантелеевна,0,6175
серафимовна,0,5998
олеговна,0,5921
пантелеевич,1,5921
абрамовна,0,5860
иннокентьевич,1,5820
анисимовна,0,5735
ефремовна,0,5714
спиридоновна,0,5705
денисович,1,5688
абрамович,1,5564
фоминична,0,5561
вадимович,1,5457
германович,1,5342
станиславовна,0,5336
осипович,1,5333
карпович,1,5279
кондратьевна,0,5230
прохоровна,0,5210
давыдовна,0,5113
эдуардович,1,5068
иннокентьевна,0,5018
сидоровна,0,4980
лукьяновна,0,4905
спиридонович,1,4846
владиславович,1,4845
ефремович,1,4820
фомич,1,4806
фролович,1,4688
альбертович,1,4657
давыдович,1,4650
никонорович,1,4639
мироновна,0,4638
магомедович,1,4630
демьяновна,0,4469
никитовна,0,4465
оглы,1,4412
анисимович,1,4400
ибрагимович,1,4256
кондратьевич,1,4249
артемьевна,0,4233
демьянович,1,4090
прохорович,1,4050
артемьевич,1,3938
миронович,1,3932
сидорович,1,3896
артемовна,0,3826
лукич,1,3743
кузьмовна,0,3691
поликарповна,0,3620
платоновна,0,3603
геннадиевич,1,3282
ибрагимовна,0,3267
харитоновна,0,3239
федосеевна,0,3233
артемович,1,3197
поликарпович,1,3096
родионовна,0,3093
германовна,0,3073
ахметович,1,3035
тарасовна,0,3020
афонасьевна,0,2991
лукьянович,1,2936
никандровна,0,2919
абдуллович,1,2894
закирович,1,2871
наумовна,0,2840
хасанович,1,2830
харитонович,1,2805
платонович,1,2784
афонасьевич,1,2781
эдуардовна,0,2777
ермолаевна,0,2767
тарасович,1,2755
никандрович,1,2678
лазаревна,0,2670
федосеевич,1,2653
валериевич,1,2648
зиновьевич,1,2646
лазаревич,1,2641
шакирович,1,2628
наумович,1,2598
абдулловна,0,2561
зиновьевна,0,2529
нестеровна,0,2494
андрияновна,0,2492
рашитович,1,2472
лукинична,0,2443
вадимовна,0,2428
назаровна,0,2362
шакировна,0,2333
родионович,1,2329
адамович,1,2316
закировна,0,2297
магомедовна,0,2256
владиславовна,0,2237
всеволодович,1,2199
ананьевич,1,2176
евсеевна,0,2174
андриановна,0,2153
ермолаевич,1,2124
ананьевна,0,2124
фаритович,1,2096
мансурович,1,2094
нестерович,1,2063
адамовна,0,2062
хасановна,0,2043
арсеньевна,0,2007
альбертовна,0,2005
андриянович,1,2005
назарович,1,1998
алиевич,1,1991
ахметовна,0,1975
евстафьевна,0,1970
