Date,f,m
2013-12-30,6.0,34.0
2014-01-06,12.0,35.0
2014-01-13,9.0,33.0
2014-01-20,9.0,25.0
2014-01-27,9.0,29.0
2014-02-03,14.0,35.0
2014-02-10,17.0,36.0
2014-02-17,8.0,30.0
2014-02-24,10.0,31.0
2014-03-03,12.0,47.0
2014-03-10,8.0,38.0
2014-03-17,9.0,35.0
2014-03-24,7.0,38.0
2014-03-31,13.0,34.0
2014-04-07,10.0,42.0
2014-04-14,9.0,43.0
2014-04-21,8.0,44.0
2014-04-28,12.0,53.0
2014-05-05,10.0,54.0
2014-05-12,17.0,54.0
2014-05-19,24.0,56.0
2014-05-26,14.0,62.0
2014-06-02,14.0,52.0
2014-06-09,19.0,55.0
2014-06-16,18.0,41.0
2014-06-23,32.0,58.0
2014-06-30,13.0,57.0
2014-07-07,15.0,67.0
2014-07-14,13.0,71.0
2014-07-21,10.0,55.0
2014-07-28,11.0,57.0
2014-08-04,16.0,55.0
2014-08-11,16.0,58.0
2014-08-18,9.0,58.0
2014-08-25,12.0,62.0
2014-09-01,14.0,49.0
2014-09-08,18.0,48.0
2014-09-15,10.0,49.0
2014-09-22,5.0,60.0
2014-09-29,17.0,49.0
2014-10-06,4.0,52.0
2014-10-13,9.0,51.0
2014-10-20,14.0,40.0
2014-10-27,12.0,43.0
2014-11-03,16.0,35.0
2014-11-10,12.0,53.0
2014-11-17,15.0,34.0
2014-11-24,12.0,38.0
2014-12-01,19.0,40.0
2014-12-08,8.0,52.0
2014-12-15,16.0,42.0
2014-12-22,17.0,41.0
2014-12-29,18.0,65.0
2015-01-05,8.0,39.0
2015-01-12,12.0,32.0
2015-01-19,13.0,31.0
2015-01-26,14.0,27.0
2015-02-02,18.0,24.0
2015-02-09,13.0,35.0
2015-02-16,9.0,33.0
2015-02-23,12.0,28.0
2015-03-02,11.0,43.0
2015-03-09,15.0,39.0
2015-03-16,14.0,42.0
2015-03-23,5.0,31.0
2015-03-30,7.0,33.0
2015-04-06,12.0,36.0
2015-04-13,10.0,32.0
2015-04-20,12.0,32.0
2015-04-27,14.0,42.0
2015-05-04,13.0,51.0
2015-05-11,8.0,29.0
2015-05-18,13.0,30.0
2015-05-25,13.0,46.0
2015-06-01,11.0,48.0
2015-06-08,17.0,44.0
2015-06-15,22.0,39.0
2015-06-22,9.0,46.0
2015-06-29,6.0,41.0
2015-07-06,13.0,40.0
2015-07-13,15.0,37.0
2015-07-20,10.0,29.0
2015-07-27,13.0,44.0
2015-08-03,6.0,41.0
2015-08-10,10.0,55.0
2015-08-17,11.0,36.0
2015-08-24,12.0,28.0
2015-08-31,19.0,43.0
2015-09-07,5.0,23.0
2015-09-14,8.0,28.0
2015-09-21,22.0,34.0
2015-09-28,11.0,34.0
2015-10-05,11.0,35.0
2015-10-12,7.0,33.0
2015-10-19,8.0,31.0
2015-10-26,11.0,38.0
2015-11-02,11.0,31.0
2015-11-09,10.0,39.0
2015-11-16,11.0,33.0
2015-11-23,15.0,36.0
2015-11-30,9.0,44.0
2015-12-07,14.0,27.0
2015-12-14,19.0,19.0
2015-12-21,11.0,34.0
2015-12-28,16.0,36.0
2016-01-04,8.0,30.0
2016-01-11,14.0,28.0
2016-01-18,7.0,42.0
2016-01-25,10.0,25.0
2016-02-01,7.0,33.0
2016-02-08,11.0,33.0
2016-02-15,9.0,30.0
2016-02-22,11.0,34.0
2016-02-29,6.0,25.0
2016-03-07,10.0,31.0
2016-03-14,8.0,32.0
2016-03-21,5.0,26.0
