CaseDelayDays,KIA,LIA
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,1.6666666666666667,0.0
25,1.6666666666666667,0.0
26,1.6666666666666667,0.0
27,1.6666666666666667,0.0
28,1.6666666666666667,0.0
29,1.6666666666666667,0.0
30,1.6666666666666667,0.0
31,1.6666666666666667,0.0
32,1.6666666666666667,0.0
33,1.6666666666666667,0.0
34,1.6666666666666667,0.0
35,1.6666666666666667,0.0
36,1.6666666666666667,0.0
37,1.6666666666666667,0.0
38,1.6666666666666667,0.0
39,1.6666666666666667,0.0
40,1.6666666666666667,0.0
41,1.6666666666666667,0.0
42,3.3333333333333335,0.0
43,3.3333333333333335,0.0
44,3.3333333333333335,0.0
45,3.3333333333333335,0.0
46,3.3333333333333335,0.0
47,3.3333333333333335,0.0
48,3.3333333333333335,0.0
49,3.3333333333333335,0.0
50,3.3333333333333335,0.0
51,3.3333333333333335,0.0
52,3.3333333333333335,0.0
53,3.3333333333333335,0.0
54,3.3333333333333335,0.0
55,3.3333333333333335,0.0
56,3.3333333333333335,0.0
57,3.3333333333333335,0.0
58,3.3333333333333335,0.0
59,3.3333333333333335,0.0
60,3.3333333333333335,0.0
61,5.0,0.0
62,5.0,0.0
63,5.0,0.0
64,5.0,0.0
65,5.0,0.0
66,5.0,0.0
67,5.0,0.0
68,5.0,0.0
69,5.0,0.0
70,5.0,0.0
71,5.0,0.0
72,5.0,0.0
73,5.0,0.0
74,5.0,0.0
75,5.0,0.0
76,5.0,0.0
77,6.666666666666667,0.0
78,6.666666666666667,0.0
79,6.666666666666667,2.3255813953488373
80,6.666666666666667,2.3255813953488373
81,6.666666666666667,2.3255813953488373
82,6.666666666666667,2.3255813953488373
83,6.666666666666667,2.3255813953488373
84,6.666666666666667,2.3255813953488373
85,6.666666666666667,2.3255813953488373
86,6.666666666666667,2.3255813953488373
87,6.666666666666667,2.3255813953488373
88,6.666666666666667,2.3255813953488373
89,8.333333333333332,2.3255813953488373
90,8.333333333333332,2.3255813953488373
91,8.333333333333332,2.3255813953488373
92,8.333333333333332,2.3255813953488373
93,8.333333333333332,2.3255813953488373
94,8.333333333333332,2.3255813953488373
95,8.333333333333332,2.3255813953488373
96,8.333333333333332,2.3255813953488373
97,8.333333333333332,2.3255813953488373
98,8.333333333333332,2.3255813953488373
99,10.0,2.3255813953488373
100,10.0,2.3255813953488373
101,10.0,2.3255813953488373
102,10.0,2.3255813953488373
103,10.0,2.3255813953488373
104,10.0,2.3255813953488373
105,10.0,2.3255813953488373
106,10.0,2.3255813953488373
107,10.0,2.3255813953488373
108,10.0,2.3255813953488373
109,10.0,2.3255813953488373
110,10.0,2.3255813953488373
111,10.0,2.3255813953488373
112,10.0,2.3255813953488373
113,11.666666666666666,2.3255813953488373
114,11.666666666666666,2.3255813953488373
115,11.666666666666666,2.3255813953488373
116,11.666666666666666,2.3255813953488373
117,11.666666666666666,2.3255813953488373
118,11.666666666666666,2.3255813953488373
119,11.666666666666666,2.3255813953488373
120,11.666666666666666,2.3255813953488373
121,11.666666666666666,2.3255813953488373
122,11.666666666666666,2.3255813953488373
123,11.666666666666666,2.3255813953488373
124,11.666666666666666,2.3255813953488373
125,11.666666666666666,2.3255813953488373
126,11.666666666666666,2.3255813953488373
127,11.666666666666666,2.3255813953488373
128,13.333333333333334,2.3255813953488373
129,13.333333333333334,2.3255813953488373
130,13.333333333333334,2.3255813953488373
131,13.333333333333334,2.3255813953488373
132,13.333333333333334,2.3255813953488373
133,13.333333333333334,2.3255813953488373
134,13.333333333333334,2.3255813953488373
135,15.0,2.3255813953488373
136,15.0,2.3255813953488373
137,15.0,2.3255813953488373
138,16.666666666666664,2.3255813953488373
139,16.666666666666664,2.3255813953488373
140,16.666666666666664,2.3255813953488373
141,16.666666666666664,2.3255813953488373
142,16.666666666666664,2.3255813953488373
143,16.666666666666664,2.3255813953488373
144,16.666666666666664,2.3255813953488373
145,16.666666666666664,2.3255813953488373
146,16.666666666666664,2.3255813953488373
147,18.333333333333332,2.3255813953488373
148,18.333333333333332,2.3255813953488373
149,18.333333333333332,2.3255813953488373
150,18.333333333333332,2.3255813953488373
151,18.333333333333332,4.651162790697675
152,20.0,4.651162790697675
153,20.0,4.651162790697675
154,21.666666666666664,4.651162790697675
155,21.666666666666664,6.976744186046512
156,21.666666666666664,6.976744186046512
157,21.666666666666664,9.30232558139535
158,21.666666666666664,9.30232558139535
159,21.666666666666664,9.30232558139535
160,21.666666666666664,9.30232558139535
161,23.333333333333332,9.30232558139535
162,23.333333333333332,9.30232558139535
163,23.333333333333332,9.30232558139535
164,23.333333333333332,9.30232558139535
165,23.333333333333332,9.30232558139535
166,23.333333333333332,9.30232558139535
167,23.333333333333332,9.30232558139535
168,23.333333333333332,9.30232558139535
169,23.333333333333332,9.30232558139535
170,24.999999999999996,11.627906976744185
171,24.999999999999996,11.627906976744185
172,24.999999999999996,11.627906976744185
173,24.999999999999996,11.627906976744185
174,24.999999999999996,11.627906976744185
175,24.999999999999996,11.627906976744185
176,24.999999999999996,11.627906976744185
177,24.999999999999996,11.627906976744185
178,26.666666666666668,13.953488372093023
179,26.666666666666668,13.953488372093023
180,26.666666666666668,13.953488372093023
181,28.333333333333332,13.953488372093023
182,28.333333333333332,16.27906976744186
183,30.0,16.27906976744186
184,30.0,16.27906976744186
185,31.666666666666664,16.27906976744186
186,31.666666666666664,16.27906976744186
187,31.666666666666664,16.27906976744186
188,31.666666666666664,16.27906976744186
189,31.666666666666664,16.27906976744186
190,31.666666666666664,18.6046511627907
191,31.666666666666664,18.6046511627907
192,31.666666666666664,18.6046511627907
193,31.666666666666664,18.6046511627907
194,31.666666666666664,18.6046511627907
195,31.666666666666664,20.930232558139533
196,31.666666666666664,20.930232558139533
197,31.666666666666664,20.930232558139533
198,31.666666666666664,20.930232558139533
199,31.666666666666664,20.930232558139533
200,33.33333333333333,20.930232558139533
201,33.33333333333333,20.930232558139533
202,33.33333333333333,20.930232558139533
203,35.0,23.25581395348837
204,35.0,23.25581395348837
205,35.0,23.25581395348837
206,35.0,23.25581395348837
207,35.0,23.25581395348837
208,35.0,23.25581395348837
209,35.0,23.25581395348837
210,35.0,23.25581395348837
211,35.0,23.25581395348837
212,36.666666666666664,23.25581395348837
213,36.666666666666664,23.25581395348837
214,36.666666666666664,23.25581395348837
215,38.33333333333333,23.25581395348837
216,38.33333333333333,23.25581395348837
217,40.0,23.25581395348837
218,40.0,23.25581395348837
219,41.666666666666664,23.25581395348837
220,41.666666666666664,23.25581395348837
221,41.666666666666664,23.25581395348837
222,43.33333333333333,23.25581395348837
223,43.33333333333333,23.25581395348837
224,43.33333333333333,23.25581395348837
225,43.33333333333333,23.25581395348837
226,43.33333333333333,23.25581395348837
227,43.33333333333333,23.25581395348837
228,43.33333333333333,23.25581395348837
229,43.33333333333333,23.25581395348837
230,43.33333333333333,23.25581395348837
231,43.33333333333333,23.25581395348837
232,43.33333333333333,23.25581395348837
233,43.33333333333333,23.25581395348837
234,44.99999999999999,23.25581395348837
235,44.99999999999999,23.25581395348837
236,44.99999999999999,23.25581395348837
237,44.99999999999999,23.25581395348837
238,44.99999999999999,23.25581395348837
239,44.99999999999999,23.25581395348837
240,44.99999999999999,23.25581395348837
241,44.99999999999999,23.25581395348837
242,44.99999999999999,23.25581395348837
243,44.99999999999999,23.25581395348837
244,44.99999999999999,23.25581395348837
245,44.99999999999999,23.25581395348837
246,44.99999999999999,23.25581395348837
247,44.99999999999999,23.25581395348837
248,44.99999999999999,23.25581395348837
249,44.99999999999999,23.25581395348837
250,44.99999999999999,23.25581395348837
251,44.99999999999999,23.25581395348837
252,44.99999999999999,23.25581395348837
253,46.666666666666664,23.25581395348837
254,46.666666666666664,23.25581395348837
255,46.666666666666664,23.25581395348837
256,46.666666666666664,23.25581395348837
257,46.666666666666664,23.25581395348837
258,46.666666666666664,23.25581395348837
259,46.666666666666664,23.25581395348837
260,46.666666666666664,23.25581395348837
261,46.666666666666664,23.25581395348837
262,46.666666666666664,23.25581395348837
263,46.666666666666664,23.25581395348837
