Age,Females,Males
10,26.40714111974662,27.266057086862023
15,34.53557454866268,32.70613804033343
20,37.99759442404658,33.38351098516877
25,39.116282577387715,34.151129634774755
30,41.38902795751146,35.313959166357556
35,44.31089807470398,38.32205740423355
40,47.70997040797072,42.83111231811924
45,53.93371743497457,50.665838294423814
50,57.39133827346823,55.75328440236926
55,62.23891009174892,60.77902091219749
60,65.83412834769095,65.93926156324926
65,68.34819796481162,69.40119865309306
70,70.94585770587048,73.26474200396426
75,67.97902728479454,71.71414085270614
80,65.60016850155156,71.40274080057306
85,60.36284780881972,67.41250386733356
90,57.54243701656387,66.08373563826703
95,55.99263412414385,76.96047018230314
